,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
282, Round ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
283,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
284,,,S,100 D,,,,8200,10740,,,
285,,,M,120 D,,,,9430,12360,,,
286,,,L,150 D,,,,11780,15440,,,
287,,,XL,170 D ,,,,13550,17750,,,
288,,,,,,,,,,,,
289,,,Prices above are with a steel base with a standard finish,,,,,,,,,
290,,,,,,,,,,,,
291,,,,,,,,,,,,
292,,,Additional cost for base in a specialist finish:,,,,,,,1530,,
293,,,,,,,,,,,,
294,,,,,,,,,,,,
295,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,5360,,
296,,,,,,,,,,,,
297,,,,,,,,,,,,
298,,,,,,,,,,,,
299,,,,,,,,,,,,
300,,,,,,,,,,,,
301,Echo glass  top,,,,,,,,,,,
302, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
303,,,,CMs (H75),,,,,,,,
304,,,S,190 x 100,,,,7300,,,,
305,,,M,220 x 100  ,,,,8390,,,,
306,,,L,250 x 100 ,,,,9650,,,,
307,,,XL,300 x 110 ,,,,12060,,,,
308,,,,,,,,,,,,
309,,,,,,,,,,,,
310,,,Prices above are with a steel base with a standard finish,,,,,,,,,
311,,,,,,,,,,,,
312,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
313,,,,,,,,,,,,
314,Echo wood or marble top ,,,,,,,,,,,
315, Rectangular,,Size ,Dimensions,,,,Wood top ,Marble top ,,,
316,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
317,,,S,190 x 100,,,,10580,13860,,,
318,,,M,220 x 100  ,,,,12160,15930,,,
319,,,L,250 x 100 ,,,,13980,18320,,,
320,,,XL,300 x 110 ,,,,17480,22900,,,
321,,,,,,,,,,,,
322,,,,,,,,,,,,
323,,,Prices above are with a steel base with a standard finish,,,,,,,,,
324,,,,,,,,,,,,
325,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
326,,,,,,,,,,,,
327,Edge,,,,,,,,,,,
328, Rectangular,,Size ,Dimensions,,,, Glass Top  ,,,,
329,,,,CMs (H75),,,,,,,,
330,,,S,190 x 100,,,,7300,,,,
331,,,M,220 x 100  ,,,,8390,,,,
332,,,L,250 x 100 ,,,,9650,,,,
333,,,XL,300 x 110 ,,,,12060,,,,
334,,,,,,,,,,,,
335,,,,,,,,,,,,
336,,,Prices above are with a steel base with a standard finish,,,,,,,,,
337,,,,,,,,,,,,
338,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
339,,,,,,,,,,,,
340,,,Additional cost for base made in Bronze:,,,,,,5650,,,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,,,,,,,,,,,,
351,,,,,,,,,,,,
352,Edge wood or marble top ,,,,,,,,,,,
353, Rectangular,,Size ,Dimensions,,,,Wood top,Marble top ,,,
354,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
355,,,S,190 x 100,,,,10580,13860,,,
356,,,M,220 x 100  ,,,,12160,15930,,,
357,,,L,250 x 100 ,,,,13980,18320,,,
358,,,XL,300 x 110 ,,,,17480,22900,,,
359,,,,,,,,,,,,
360,,,,,,,,,,,,
361,,,Prices above are with a steel base with a standard finish,,,,,,,,,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
365,,,,,,,,,,,,
366,,,Additional cost for base made in Bronze:,,,,,,5650,,,
367,,,,,,,,,,,,
368,Exe glass top single pedestal,,,,,,,,,,,
369,Oval,,Size ,Dimensions,,,, Glass Top ,,,,
370,,,,CMs (H75),,,,,,,,
371,,,S,190 x110,,,,8940,,,,
372,,,M,220 x 120,,,,10280,,,,
373,,,L,250 x 120,,,,11820,,,,
374,,,XL,300 x 140,,,,14770,,,,
375,,,,,,,,,,,,
376,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
377,,,,,,,,,,,,
378,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
379,,,,,,,,,,,,
380,,,,,,,,,,,,
381,,,,,,,,,,,,
382,Exe wood top single pedestal,,,,,,,,,,,
383,Oval,,Size ,Dimensions,,,,Wood Top ,,,,
384,,,,CMs (H75),,,,,,,,
385,,,S,190 x110,,,,12950,,,,
386,,,M,220 x 120,,,,14900,,,,
387,,,L,250 x 120,,,,17130,,,,
388,,,XL,300 x 140,,,,21410,,,,
389,,,,,,,,,,,,
390,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
391,,,,,,,,,,,,
392,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
393,,,,,,,,,,,,
394,,,,,,,,,,,,
395,Exe glass top double pedestal,,,,,,,,,,,
396, Rectangular,,Size ,Dimensions,,,, Glass Top ,,,,
397,,,,CMs (H75),,,,,,,,
398,,,S,190 x 100,,,,8210,,,,
399,,,M,220 x 100  ,,,,9430,,,,
400,,,L,250 x 100 ,,,,10860,,,,
401,,,XL,300 x 110 ,,,,13560,,,,
402,,,,,,,,,,,,
403,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
404,,,,,,,,,,,,
405,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
406,,,,,,,,,,,,
407,Exe wood top double pedestal,,,,,,,,,,,
408, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
409,,,,CMs (H75),,,,,,,,
410,,,S,190 x 100,,,,11900,,,,
411,,,M,220 x 100  ,,,,13680,,,,
412,,,L,250 x 100 ,,,,15740,,,,
413,,,XL,300 x 110 ,,,,19660,,,,
414,,,,,,,,,,,,
415,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
416,,,,,,,,,,,,
417,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
418,,,,,,,,,,,,
419,,,,,,,,,,,,
420,,,,,,,,,,,,
421,Exe glass top single pedestal,,,,,,,,,,,
422, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
423,,,,CMs (H75),,,,,,,,
424,,,S,190 x 100,,,,8210,,,,
425,,,M,220 x 100  ,,,,9430,,,,
426,,,L,250 x 100 ,,,,10860,,,,
427,,,XL,300 x 110 ,,,,13560,,,,
428,,,,,,,,,,,,
429,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
430,,,,,,,,,,,,
431,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
432,,,,,,,,,,,,
433,,,,,,,,,,,,
434,,,,,,,,,,,,
435,,,,,,,,,,,,
436,,,,,,,,,,,,
437,,,,,,,,,,,,
438,,,,,,,,,,,,
439,,,,,,,,,,,,
440,,,,,,,,,,,,
441,,,,,,,,,,,,
442,Exe wood top single pedestal,,,,,,,,,,,
