,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
286,,,XL,170 D ,,,,11820,15490,,,
287,,,,,,,,,,,,
288,,,Prices above are with a steel base with a standard finish,,,,,,,,,
289,,,,,,,,,,,,
290,,,,,,,,,,,,
291,,,Additional cost for base in a specialist finish:,,,,,,,1330,,
292,,,,,,,,,,,,
293,,,,,,,,,,,,
294,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,4670,,
295,,,,,,,,,,,,
296,Echo Glass Top,,,,,,,,,,,
297, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
298,,,,CMs (H75),,,,,,,,
299,,,S,190 x 100,,,,6370,,,,
300,,,M,220 x 100  ,,,,7320,,,,
301,,,L,250 x 100 ,,,,8420,,,,
302,,,XL,300 x 110 ,,,,10520,,,,
303,,,,,,,,,,,,
304,,,,,,,,,,,,
305,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
306,,,,,,,,,,,,
307,,,Additional cost for base in a specialist finish:,,,,,,1200,,,
308,,,,,,,,,,,,
309,Echo wood or marble top,,,,,,,,,,,
310, Rectangular,,Size ,Dimensions,,,,Wood Top ,Marble top ,,,
311,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
312,,,S,190 x 100,,,,9230,12090,,,
313,,,M,220 x 100  ,,,,10610,13900,,,
314,,,L,250 x 100 ,,,,12200,15990,,,
315,,,XL,300 x 110 ,,,,15250,19980,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
319,,,,,,,,,,,,
320,,,Additional cost for base in a specialist finish:,,,,,,1200,,,
321,,,,,,,,,,,,
322,Edge glass top ,,,,,,,,,,,
323, Rectangular,,Size ,Dimensions,,,, Glass Top  ,,,,
324,,,,CMs (H75),,,,,,,,
325,,,S,190 x 100,,,,6370,,,,
326,,,M,220 x 100  ,,,,7320,,,,
327,,,L,250 x 100 ,,,,8420,,,,
328,,,XL,300 x 110 ,,,,10520,,,,
329,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,Prices above are with a steel base with a standard finish,,,,,,,,,
332,,,,,,,,,,,,
333,,,,,,,,,,,,
334,,,Additional cost for base in a specialist finish:,,,,,,1200,,,
335,,,,,,,,,,,,
336,,,Additional cost for base made in Bronze:,,,,,,4930,,,
337,,,,,,,,,,,,
338,Edge wood or marble top ,,,,,,,,,,,
339, Rectangular,,Size ,Dimensions,,,,Wood top,Marble top ,,,
340,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
341,,,S,190 x 100,,,,9230,12090,,,
342,,,M,220 x 100  ,,,,10610,13900,,,
343,,,L,250 x 100 ,,,,12200,15990,,,
344,,,XL,300 x 110 ,,,,15250,19980,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,Prices above are with a steel base with a standard finish,,,,,,,,,
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,,,Additional cost for base in a specialist finish:,,,,,,1200,,,
351,,,,,,,,,,,,
352,,,Additional cost for base made in Bronze:,,,,,,4930,,,
353,,,,,,,,,,,,
354,,,,,,,,,,,,
355,Exe glass top single pedestal,,,,,,,,,,,
356,Oval,,Size ,Dimensions,,,, Glass Top ,,,,
357,,,,CMs (H75),,,,,,,,
358,,,S,190 x110,,,,7800,,,,
359,,,M,220 x 120,,,,8970,,,,
360,,,L,250 x 120,,,,10310,,,,
361,,,XL,300 x 140,,,,12890,,,,
362,,,,,,,,,,,,
363,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
364,,,,,,,,,,,,
365,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
366,,,,,,,,,,,,
367,,,,,,,,,,,,
368,Exe wood top single pedestal,,,,,,,,,,,
369,Oval,,Size ,Dimensions,,,,Wood Top ,,,,
370,,,,CMs (H75),,,,,,,,
371,,,S,190 x110,,,,11300,,,,
372,,,M,220 x 120,,,,13000,,,,
373,,,L,250 x 120,,,,14950,,,,
374,,,XL,300 x 140,,,,18680,,,,
375,,,,,,,,,,,,
376,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
377,,,,,,,,,,,,
